timestamp,host,city,state,country,url,df_2011,num_part_2011,other_inst_2011,df_2012,num_part_2012,other_inst_2012,df_2013,num_part_2013,other_inst_2013,df_2014,num_part_2014,other_inst_2014,df_2015,num_part_2015,other_inst_2015,df_2016,num_part_2016,other_inst_2016,df_2017,num_part_2017,other_inst_2017,address,lon,lat,radius_2017,radius_2016,radius_2015,radius_2014,radius_2013,radius_2012,radius_2011
4/25/2017 16:28:30,UC Berkeley,Berkeley,California,USA,datafest.stat.berkeley.edu,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,50,NA,Yes,50,NA,Berkeley California USA,-122.272747,37.8715926,1.445086705202312,1.445086705202312,NA,NA,NA,NA,NA
4/25/2017 16:38:43,Miami University (Ohio),Oxford,Ohio,USA,http://miamioh.edu/fsb/centers/cads/experiential/datafest/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,51,University of Cincinnati; Bowling Green State University,Yes,90,University of Cincinnati; Bowling Green State University,Oxford Ohio USA,-84.74523099999999,39.5069974,2.6011560693641615,1.4739884393063583,NA,NA,NA,NA,NA
4/25/2017 21:46:31,University of Massachusets,Amherst,Massachusetts,USA,http://www.science.smith.edu/datafest/,No,NA,NA,No,NA,NA,No,NA,NA,Yes,79,"Amherst, Hampshire, Mt. Holyoke, Smith Colleges",Yes,82,"Amherst, Hampshire, Mt. Holyoke, Smith College",Yes,123,"Amherst, Hampshire, Mt. Holyoke, Smith Colleges",Yes,142,"Amherst, Hampshire, Mt. Holyoke, Smith Colleges",Amherst Massachusetts USA,-72.5198537,42.3732216,4.104046242774566,3.5549132947976876,2.3699421965317917,2.283236994219653,NA,NA,NA
4/25/2017 21:55:14,University of New Mexico,Albuquerque,New Mexico,USA,http://math.unm.edu/news-events/events/asa-datafest,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,14,NA,Albuquerque New Mexico USA,-106.6055534,35.0853336,0.40462427745664736,NA,NA,NA,NA,NA,NA
4/26/2017 9:40:50,Columbia University,New York,New York,USA,http://blogs.cuit.columbia.edu/statisticsclub/events/spring-datafest-2017/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,45,NA,New York New York USA,-74.0059413,40.7127837,1.3005780346820808,NA,NA,NA,NA,NA,NA
4/26/2017 13:57:28,University of Mannheim,Mannheim,NA,Germany,http://datafest.de/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,80,LMU Munich,Yes,90,LMU Munich,Yes,80,NA,Mannheim NA Germany,8.466039499999999,49.4874592,2.312138728323699,2.6011560693641615,2.312138728323699,NA,NA,NA,NA
4/26/2017 15:13:24,University of Virginia,Charlottesville,Virginia,USA,http://datafest.virginia.edu/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,60,NA,No,NA,NA,Charlottesville Virginia USA,-78.47667810000002,38.0293059,NA,1.7341040462427746,NA,NA,NA,NA,NA
4/27/2017 9:59:29,Virginia Tech,Blacksburg,Virginia,USA,http://www.stat.vt.edu/Academics/undergraduate/VTdatafest.html,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,30,NA,Yes,60,NA,Blacksburg Virginia USA,-80.4139393,37.2295733,1.7341040462427746,0.8670520231213873,NA,NA,NA,NA,NA
4/27/2017 10:27:25,"Summit Consulting, DC",Washington,District of Columbia,USA,https://www.facebook.com/events/520875878090896/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,17,"UMD, American University, George Washington",Yes,27,"George Washington, Howard, UMD, George Mason, Montclair",Yes,58,"George Washington, UMD, UMBC, American, Howard, George Washington",Washington District of Columbia USA,-77.0368707,38.9071923,1.676300578034682,0.7803468208092486,0.4913294797687861,NA,NA,NA,NA
4/27/2017 16:06:26,Case Western Reserve University,Cleveland,Ohio,USA,http://mathstats.case.edu/datafest-2017/,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,16,NA,Cleveland Ohio USA,-81.6943605,41.49932,0.4624277456647399,NA,NA,NA,NA,NA,NA
NA,Macalaster College,St Paul,Minnessota,USA,https://www.macalester.edu/datafest/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,54,NA,St Paul Minnessota USA,-93.0899578,44.9537029,1.560693641618497,NA,NA,NA,NA,NA,NA
NA,Loyola University Chicago,Chicago,Illinois,USA,http://pascal.math.luc.edu/datafest/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,40,NA,Chicago Illinois USA,-87.6297982,41.8781136,1.1560693641618496,NA,NA,NA,NA,NA,NA
NA,Brown University,Providence,Rhode Island,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,40,NA,Providence Rhode Island USA,-71.4128343,41.8239891,1.1560693641618496,NA,NA,NA,NA,NA,NA
NA,University of Toronto,Toronto,Ontario,Canada,https://utorontodatafest.wordpress.com/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,40,NA,Toronto Ontario Canada,-79.3831843,43.653226,1.1560693641618496,NA,NA,NA,NA,NA,NA
